fold,C,k,acc,f1,auc
1,0.01,27,0.9649122807017544,0.9714285714285714,0.9980347199475925
2,0.01,21,0.9649122807017544,0.9726027397260274,0.9980347199475925
3,0.01,27,0.9736842105263158,0.9795918367346939,0.9857804232804233
4,0.01,18,0.9649122807017544,0.9714285714285714,0.9996693121693121
5,0.01,21,0.9911504424778761,0.993006993006993,0.9986586183769282
